"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"KEGG_PATHWAY","MAPK signaling pathway","6","9","300","9375","1.68e-6","1.72e-5","20.83","3.09e-4","9.15e-6","7.92e-8","hsa04010:MAPK signaling pathway","JUN,CASP3,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Human papillomavirus infection","6","9","333","9375","2.81e-6","2.61e-5","18.77","5.18e-4","1.39e-5","1.47e-7","hsa05165:Human papillomavirus infection","CASP3,AKT1,PTGS2,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Measles","5","9","136","9375","2.84e-6","2.61e-5","38.30","5.22e-4","1.39e-5","7.18e-8","hsa05162:Measles","IL6,JUN,CASP3,AKT1,TP53"
"KEGG_PATHWAY","Yersinia infection","5","9","138","9375","3.01e-6","2.63e-5","37.74","5.53e-4","1.40e-5","7.72e-8","hsa05135:Yersinia infection","IL6,JUN,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Hepatitis C","5","9","156","9375","4.90e-6","4.02e-5","33.39","9.02e-4","2.14e-5","1.43e-7","hsa05160:Hepatitis C","CASP3,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Non-alcoholic fatty liver disease","5","9","157","9375","5.03e-6","4.02e-5","33.17","9.25e-4","2.14e-5","1.48e-7","hsa04932:Non-alcoholic fatty liver disease","IL6,JUN,CASP3,AKT1,TNF"
"KEGG_PATHWAY","Alzheimer disease","6","9","388","9375","5.98e-6","4.58e-5","16.11","1.10e-3","2.44e-5","3.66e-7","hsa05010:Alzheimer disease","IL6,CASP3,AKT1,PTGS2,TNF,MAPK3"
"KEGG_PATHWAY","Influenza A","5","9","173","9375","7.40e-6","5.45e-5","30.11","1.36e-3","2.90e-5","2.40e-7","hsa05164:Influenza A","IL6,CASP3,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Herpes simplex virus 1 infection","5","9","180","9375","8.66e-6","6.04e-5","28.94","1.59e-3","3.21e-5","2.92e-7","hsa05168:Herpes simplex virus 1 infection","IL6,CASP3,AKT1,TNF,TP53"
"KEGG_PATHWAY","Tuberculosis","5","9","181","9375","8.86e-6","6.04e-5","28.78","1.63e-3","3.21e-5","3.00e-7","hsa05152:Tuberculosis","IL6,CASP3,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Pathogenic Escherichia coli infection","5","9","200","9375","1.32e-5","8.65e-5","26.04","2.42e-3","4.61e-5","4.94e-7","hsa05130:Pathogenic Escherichia coli infection","IL6,JUN,CASP3,TNF,MAPK3"
"KEGG_PATHWAY","Proteoglycans in cancer","5","9","204","9375","1.42e-5","9.03e-5","25.53","2.62e-3","4.81e-5","5.45e-7","hsa05205:Proteoglycans in cancer","CASP3,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Human immunodeficiency virus 1 infection","5","9","214","9375","1.72e-5","1.05e-4","24.34","3.16e-3","5.62e-5","6.92e-7","hsa05170:Human immunodeficiency virus 1 infection","JUN,CASP3,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Platinum drug resistance","4","9","75","9375","2.68e-5","1.59e-4","55.56","4.91e-3","8.46e-5","4.62e-7","hsa01524:Platinum drug resistance","CASP3,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Leishmaniasis","4","9","78","9375","3.01e-5","1.73e-4","53.42","5.53e-3","9.22e-5","5.41e-7","hsa05140:Leishmaniasis","JUN,PTGS2,TNF,MAPK3"
"KEGG_PATHWAY","Shigellosis","5","9","253","9375","3.33e-5","1.86e-4","20.59","6.11e-3","9.89e-5","1.59e-6","hsa05131:Shigellosis","JUN,AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Small cell lung cancer","4","9","93","9375","5.11e-5","2.76e-4","44.80","9.35e-3","1.47e-4","1.10e-6","hsa05222:Small cell lung cancer","CASP3,AKT1,PTGS2,TP53"
"KEGG_PATHWAY","Endocrine resistance","4","9","99","9375","6.16e-5","3.24e-4","42.09","1.13e-2","1.72e-4","1.42e-6","hsa01522:Endocrine resistance","JUN,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Toxoplasmosis","4","9","112","9375","8.90e-5","4.55e-4","37.20","1.62e-2","2.42e-4","2.32e-6","hsa05145:Toxoplasmosis","CASP3,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Neurotrophin signaling pathway","4","9","120","9375","1.09e-4","5.44e-4","34.72","1.99e-2","2.89e-4","3.06e-6","hsa04722:Neurotrophin signaling pathway","JUN,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","T cell receptor signaling pathway","4","9","122","9375","1.15e-4","5.56e-4","34.15","2.09e-2","2.96e-4","3.27e-6","hsa04660:T cell receptor signaling pathway","JUN,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Sphingolipid signaling pathway","4","9","125","9375","1.23e-4","5.82e-4","33.33","2.25e-2","3.10e-4","3.60e-6","hsa04071:Sphingolipid signaling pathway","AKT1,TNF,TP53,MAPK3"
"KEGG_PATHWAY","Osteoclast differentiation","4","9","142","9375","1.80e-4","8.09e-4","29.34","3.26e-2","4.31e-4","5.99e-6","hsa04380:Osteoclast differentiation","JUN,AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Fluid shear stress and atherosclerosis","4","9","142","9375","1.80e-4","8.09e-4","29.34","3.26e-2","4.31e-4","5.99e-6","hsa05418:Fluid shear stress and atherosclerosis","JUN,AKT1,TNF,TP53"
"KEGG_PATHWAY","Alcoholic liver disease","4","9","144","9375","1.88e-4","8.23e-4","28.94","3.40e-2","4.38e-4","6.34e-6","hsa04936:Alcoholic liver disease","IL6,CASP3,AKT1,TNF"
"KEGG_PATHWAY","Breast cancer","4","9","148","9375","2.04e-4","8.72e-4","28.15","3.68e-2","4.64e-4","7.07e-6","hsa05224:Breast cancer","JUN,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Cellular senescence","4","9","157","9375","2.43e-4","1.01e-3","26.54","4.37e-2","5.40e-4","8.94e-6","hsa04218:Cellular senescence","IL6,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Pathways of neurodegeneration - multiple diseases","5","9","480","9375","4.03e-4","1.62e-3","10.85","7.15e-2","8.65e-4","3.66e-5","hsa05022:Pathways of neurodegeneration - multiple diseases","IL6,CASP3,PTGS2,TNF,MAPK3"
"KEGG_PATHWAY","NOD-like receptor signaling pathway","4","9","187","9375","4.06e-4","1.62e-3","22.28","7.20e-2","8.65e-4","1.79e-5","hsa04621:NOD-like receptor signaling pathway","IL6,JUN,TNF,MAPK3"
"KEGG_PATHWAY","Viral carcinogenesis","4","9","205","9375","5.32e-4","2.08e-3","20.33","9.33e-2","1.11e-3","2.57e-5","hsa05203:Viral carcinogenesis","JUN,CASP3,TP53,MAPK3"
"KEGG_PATHWAY","Coronavirus disease - COVID-19","4","9","238","9375","8.23e-4","3.16e-3","17.51","1.41e-1","1.68e-3","4.62e-5","hsa05171:Coronavirus disease - COVID-19","IL6,JUN,TNF,MAPK3"
"KEGG_PATHWAY","Legionellosis","3","9","56","9375","9.59e-4","3.60e-3","55.80","1.62e-1","1.92e-3","1.65e-5","hsa05134:Legionellosis","IL6,CASP3,TNF"
"KEGG_PATHWAY","Endometrial cancer","3","9","59","9375","1.06e-3","3.92e-3","52.97","1.78e-1","2.09e-3","1.94e-5","hsa05213:Endometrial cancer","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","VEGF signaling pathway","3","9","60","9375","1.10e-3","3.97e-3","52.08","1.83e-1","2.11e-3","2.04e-5","hsa04370:VEGF signaling pathway","AKT1,PTGS2,MAPK3"
"KEGG_PATHWAY","Prion disease","4","9","275","9375","1.25e-3","4.43e-3","15.15","2.06e-1","2.36e-3","8.13e-5","hsa05020:Prion disease","IL6,CASP3,TNF,MAPK3"
"KEGG_PATHWAY","Inflammatory bowel disease","3","9","66","9375","1.33e-3","4.62e-3","47.35","2.17e-1","2.46e-3","2.72e-5","hsa05321:Inflammatory bowel disease","IL6,JUN,TNF"
"KEGG_PATHWAY","Fc epsilon RI signaling pathway","3","9","69","9375","1.45e-3","4.95e-3","45.29","2.35e-1","2.64e-3","3.11e-5","hsa04664:Fc epsilon RI signaling pathway","AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Renal cell carcinoma","3","9","70","9375","1.49e-3","5.00e-3","44.64","2.41e-1","2.66e-3","3.24e-5","hsa05211:Renal cell carcinoma","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Central carbon metabolism in cancer","3","9","71","9375","1.54e-3","5.05e-3","44.01","2.47e-1","2.69e-3","3.38e-5","hsa05230:Central carbon metabolism in cancer","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Melanoma","3","9","73","9375","1.62e-3","5.15e-3","42.81","2.59e-1","2.74e-3","3.68e-5","hsa05218:Melanoma","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Non-small cell lung cancer","3","9","73","9375","1.62e-3","5.15e-3","42.81","2.59e-1","2.74e-3","3.68e-5","hsa05223:Non-small cell lung cancer","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Glioma","3","9","76","9375","1.76e-3","5.45e-3","41.12","2.77e-1","2.90e-3","4.15e-5","hsa05214:Glioma","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Pancreatic cancer","3","9","77","9375","1.81e-3","5.45e-3","40.58","2.83e-1","2.90e-3","4.32e-5","hsa05212:Pancreatic cancer","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Chronic myeloid leukemia","3","9","77","9375","1.81e-3","5.45e-3","40.58","2.83e-1","2.90e-3","4.32e-5","hsa05220:Chronic myeloid leukemia","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","EGFR tyrosine kinase inhibitor resistance","3","9","80","9375","1.95e-3","5.78e-3","39.06","3.01e-1","3.08e-3","4.84e-5","hsa01521:EGFR tyrosine kinase inhibitor resistance","IL6,AKT1,MAPK3"
"KEGG_PATHWAY","MicroRNAs in cancer","4","9","323","9375","1.99e-3","5.83e-3","12.90","3.07e-1","3.10e-3","1.52e-4","hsa05206:MicroRNAs in cancer","CASP3,PTGS2,TP53,MAPK3"
"KEGG_PATHWAY","ErbB signaling pathway","3","9","86","9375","2.25e-3","6.46e-3","36.34","3.39e-1","3.44e-3","6.02e-5","hsa04012:ErbB signaling pathway","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","PD-L1 expression and PD-1 checkpoint pathway in cancer","3","9","90","9375","2.46e-3","6.96e-3","34.72","3.64e-1","3.71e-3","6.89e-5","hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","B cell receptor signaling pathway","3","9","91","9375","2.51e-3","7.00e-3","34.34","3.70e-1","3.73e-3","7.12e-5","hsa04662:B cell receptor signaling pathway","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Rheumatoid arthritis","3","9","95","9375","2.73e-3","7.48e-3","32.89","3.96e-1","3.99e-3","8.10e-5","hsa05323:Rheumatoid arthritis","IL6,JUN,TNF"
"KEGG_PATHWAY","PI3K-Akt signaling pathway","4","9","362","9375","2.77e-3","7.48e-3","11.51","3.99e-1","3.99e-3","2.36e-4","hsa04151:PI3K-Akt signaling pathway","IL6,AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Choline metabolism in cancer","3","9","99","9375","2.97e-3","7.91e-3","31.57","4.21e-1","4.21e-3","9.16e-5","hsa05231:Choline metabolism in cancer","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Amoebiasis","3","9","103","9375","3.21e-3","8.43e-3","30.34","4.46e-1","4.49e-3","1.03e-4","hsa05146:Amoebiasis","IL6,CASP3,TNF"
"KEGG_PATHWAY","Prostate cancer","3","9","106","9375","3.39e-3","8.79e-3","29.48","4.65e-1","4.68e-3","1.12e-4","hsa05215:Prostate cancer","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Th17 cell differentiation","3","9","109","9375","3.58e-3","9.03e-3","28.67","4.83e-1","4.81e-3","1.22e-4","hsa04659:Th17 cell differentiation","IL6,JUN,MAPK3"
"KEGG_PATHWAY","Insulin resistance","3","9","109","9375","3.58e-3","9.03e-3","28.67","4.83e-1","4.81e-3","1.22e-4","hsa04931:Insulin resistance","IL6,AKT1,TNF"
"KEGG_PATHWAY","HIF-1 signaling pathway","3","9","110","9375","3.65e-3","9.07e-3","28.41","4.90e-1","4.83e-3","1.25e-4","hsa04066:HIF-1 signaling pathway","IL6,AKT1,MAPK3"
"KEGG_PATHWAY","Serotonergic synapse","3","9","115","9375","3.98e-3","9.76e-3","27.17","5.20e-1","5.20e-3","1.43e-4","hsa04726:Serotonergic synapse","CASP3,PTGS2,MAPK3"
"KEGG_PATHWAY","Natural killer cell mediated cytotoxicity","3","9","116","9375","4.05e-3","9.80e-3","26.94","5.26e-1","5.22e-3","1.47e-4","hsa04650:Natural killer cell mediated cytotoxicity","CASP3,TNF,MAPK3"
"KEGG_PATHWAY","Thyroid hormone signaling pathway","3","9","122","9375","4.47e-3","1.07e-2","25.61","5.61e-1","5.69e-3","1.71e-4","hsa04919:Thyroid hormone signaling pathway","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Relaxin signaling pathway","3","9","130","9375","5.06e-3","1.19e-2","24.04","6.07e-1","6.36e-3","2.06e-4","hsa04926:Relaxin signaling pathway","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","FoxO signaling pathway","3","9","133","9375","5.29e-3","1.23e-2","23.50","6.23e-1","6.56e-3","2.20e-4","hsa04068:FoxO signaling pathway","IL6,AKT1,MAPK3"
"KEGG_PATHWAY","Estrogen signaling pathway","3","9","139","9375","5.76e-3","1.33e-2","22.48","6.55e-1","7.06e-3","2.51e-4","hsa04915:Estrogen signaling pathway","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Gastric cancer","3","9","150","9375","6.68e-3","1.52e-2","20.83","7.09e-1","8.09e-3","3.14e-4","hsa05226:Gastric cancer","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Oxytocin signaling pathway","3","9","154","9375","7.03e-3","1.58e-2","20.29","7.27e-1","8.41e-3","3.40e-4","hsa04921:Oxytocin signaling pathway","JUN,PTGS2,MAPK3"
"KEGG_PATHWAY","Efferocytosis","3","9","157","9375","7.30e-3","1.62e-2","19.90","7.40e-1","8.62e-3","3.59e-4","hsa04148:Efferocytosis","CASP3,PTGS2,MAPK3"
"KEGG_PATHWAY","mTOR signaling pathway","3","9","158","9375","7.39e-3","1.62e-2","19.78","7.45e-1","8.63e-3","3.66e-4","hsa04150:mTOR signaling pathway","AKT1,TNF,MAPK3"
"KEGG_PATHWAY","Hepatocellular carcinoma","3","9","170","9375","8.52e-3","1.84e-2","18.38","7.93e-1","9.82e-3","4.54e-4","hsa05225:Hepatocellular carcinoma","AKT1,TP53,MAPK3"
"KEGG_PATHWAY","Focal adhesion","3","9","203","9375","1.20e-2","2.56e-2","15.39","8.91e-1","1.37e-2","7.63e-4","hsa04510:Focal adhesion","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Chemical carcinogenesis - receptor activation","3","9","217","9375","1.36e-2","2.88e-2","14.40","9.20e-1","1.53e-2","9.27e-4","hsa05207:Chemical carcinogenesis - receptor activation","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","cAMP signaling pathway","3","9","226","9375","1.47e-2","3.07e-2","13.83","9.35e-1","1.63e-2","1.04e-3","hsa04024:cAMP signaling pathway","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Chemical carcinogenesis - reactive oxygen species","3","9","227","9375","1.48e-2","3.07e-2","13.77","9.36e-1","1.63e-2","1.06e-3","hsa05208:Chemical carcinogenesis - reactive oxygen species","JUN,AKT1,MAPK3"
"KEGG_PATHWAY","Antifolate resistance","2","9","30","9375","2.53e-2","5.18e-2","69.44","9.91e-1","2.76e-2","3.51e-4","hsa01523:Antifolate resistance","IL6,TNF"
"KEGG_PATHWAY","Thyroid cancer","2","9","37","9375","3.12e-2","6.23e-2","56.31","9.97e-1","3.32e-2","5.36e-4","hsa05216:Thyroid cancer","TP53,MAPK3"
"KEGG_PATHWAY","African trypanosomiasis","2","9","37","9375","3.12e-2","6.23e-2","56.31","9.97e-1","3.32e-2","5.36e-4","hsa05143:African trypanosomiasis","IL6,TNF"
"KEGG_PATHWAY","Bladder cancer","2","9","41","9375","3.45e-2","6.82e-2","50.81","9.98e-1","3.63e-2","6.59e-4","hsa05219:Bladder cancer","TP53,MAPK3"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","3","9","368","9375","3.68e-2","7.20e-2","8.49","9.99e-1","3.83e-2","4.22e-3","hsa05014:Amyotrophic lateral sclerosis","CASP3,TNF,TP53"
"KEGG_PATHWAY","Graft-versus-host disease","2","9","45","9375","3.78e-2","7.32e-2","46.30","9.99e-1","3.90e-2","7.94e-4","hsa05332:Graft-versus-host disease","IL6,TNF"
"KEGG_PATHWAY","Type II diabetes mellitus","2","9","47","9375","3.94e-2","7.56e-2","44.33","9.99e-1","4.02e-2","8.66e-4","hsa04930:Type II diabetes mellitus","TNF,MAPK3"
"KEGG_PATHWAY","Malaria","2","9","50","9375","4.19e-2","7.95e-2","41.67","1.00e+0","4.23e-2","9.80e-4","hsa05144:Malaria","IL6,TNF"
"KEGG_PATHWAY","Regulation of lipolysis in adipocytes","2","9","59","9375","4.93e-2","9.25e-2","35.31","1.00e+0","4.93e-2","1.36e-3","hsa04923:Regulation of lipolysis in adipocytes","AKT1,PTGS2"
"KEGG_PATHWAY","GnRH secretion","2","9","65","9375","5.42e-2","1.01e-1","32.05","1.00e+0","5.42e-2","1.65e-3","hsa04929:GnRH secretion","AKT1,MAPK3"
"KEGG_PATHWAY","Acute myeloid leukemia","2","9","68","9375","5.66e-2","1.04e-1","30.64","1.00e+0","5.66e-2","1.81e-3","hsa05221:Acute myeloid leukemia","AKT1,MAPK3"
"KEGG_PATHWAY","Adipocytokine signaling pathway","2","9","70","9375","5.82e-2","1.05e-1","29.76","1.00e+0","5.82e-2","1.91e-3","hsa04920:Adipocytokine signaling pathway","AKT1,TNF"
"KEGG_PATHWAY","Epithelial cell signaling in Helicobacter pylori infection","2","9","71","9375","5.90e-2","1.05e-1","29.34","1.00e+0","5.90e-2","1.97e-3","hsa05120:Epithelial cell signaling in Helicobacter pylori infection","JUN,CASP3"
"KEGG_PATHWAY","Prolactin signaling pathway","2","9","71","9375","5.90e-2","1.05e-1","29.34","1.00e+0","5.90e-2","1.97e-3","hsa04917:Prolactin signaling pathway","AKT1,MAPK3"
"KEGG_PATHWAY","p53 signaling pathway","2","9","75","9375","6.23e-2","1.10e-1","27.78","1.00e+0","6.23e-2","2.19e-3","hsa04115:p53 signaling pathway","CASP3,TP53"
"KEGG_PATHWAY","Cytosolic DNA-sensing pathway","2","9","83","9375","6.87e-2","1.20e-1","25.10","1.00e+0","6.87e-2","2.68e-3","hsa04623:Cytosolic DNA-sensing pathway","IL6,CASP3"
"KEGG_PATHWAY","Longevity regulating pathway","2","9","90","9375","7.43e-2","1.29e-1","23.15","1.00e+0","7.43e-2","3.14e-3","hsa04211:Longevity regulating pathway","AKT1,TP53"
"KEGG_PATHWAY","GnRH signaling pathway","2","9","93","9375","7.67e-2","1.31e-1","22.40","1.00e+0","7.67e-2","3.35e-3","hsa04912:GnRH signaling pathway","JUN,MAPK3"
"KEGG_PATHWAY","Th1 and Th2 cell differentiation","2","9","93","9375","7.67e-2","1.31e-1","22.40","1.00e+0","7.67e-2","3.35e-3","hsa04658:Th1 and Th2 cell differentiation","JUN,MAPK3"
"KEGG_PATHWAY","Fc gamma R-mediated phagocytosis","2","9","98","9375","8.07e-2","1.35e-1","21.26","1.00e+0","8.07e-2","3.71e-3","hsa04666:Fc gamma R-mediated phagocytosis","AKT1,MAPK3"
"KEGG_PATHWAY","Hypertrophic cardiomyopathy","2","9","99","9375","8.15e-2","1.35e-1","21.04","1.00e+0","8.15e-2","3.79e-3","hsa05410:Hypertrophic cardiomyopathy","IL6,TNF"
"KEGG_PATHWAY","Hematopoietic cell lineage","2","9","100","9375","8.22e-2","1.35e-1","20.83","1.00e+0","8.22e-2","3.86e-3","hsa04640:Hematopoietic cell lineage","IL6,TNF"
"KEGG_PATHWAY","Viral protein interaction with cytokine and cytokine receptor","2","9","100","9375","8.22e-2","1.35e-1","20.83","1.00e+0","8.22e-2","3.86e-3","hsa04061:Viral protein interaction with cytokine and cytokine receptor","IL6,TNF"
"KEGG_PATHWAY","Mitophagy - animal","2","9","105","9375","8.62e-2","1.39e-1","19.84","1.00e+0","8.62e-2","4.25e-3","hsa04137:Mitophagy - animal","JUN,TP53"
"KEGG_PATHWAY","NF-kappa B signaling pathway","2","9","105","9375","8.62e-2","1.39e-1","19.84","1.00e+0","8.62e-2","4.25e-3","hsa04064:NF-kappa B signaling pathway","PTGS2,TNF"
"KEGG_PATHWAY","TGF-beta signaling pathway","2","9","110","9375","9.01e-2","1.43e-1","18.94","1.00e+0","9.01e-2","4.65e-3","hsa04350:TGF-beta signaling pathway","TNF,MAPK3"
"KEGG_PATHWAY","Progesterone-mediated oocyte maturation","2","9","110","9375","9.01e-2","1.43e-1","18.94","1.00e+0","9.01e-2","4.65e-3","hsa04914:Progesterone-mediated oocyte maturation","AKT1,MAPK3"
"KEGG_PATHWAY","Cholinergic synapse","2","9","115","9375","9.41e-2","1.48e-1","18.12","1.00e+0","9.41e-2","5.08e-3","hsa04725:Cholinergic synapse","AKT1,MAPK3"
"KEGG_PATHWAY","Growth hormone synthesis, secretion and action","2","9","122","9375","9.95e-2","1.55e-1","17.08","1.00e+0","9.95e-2","5.70e-3","hsa04935:Growth hormone synthesis, secretion and action","AKT1,MAPK3"

